PHYHIP	EEF1A1
HSPA4	ISG15
GCH1	NME4
STAT1	IFIT3
HLA-A	RFX5
NUP37	UBC
RANBP9	UBC
CD3E	HLA-A
IL1B	IL8
CCL2	XCR1
PAGE4	TBK1
PPP6C	UBC
HBP1	IRF1
PTGER3	CCL20
FOS	USF2
FOSL1	PLAUR
NR1H3	UBC
TAF9	TRRAP
IRF7	IFITM1
HSPA1A	SUMO2
UBC	ZBTB7B
CCL5	SDC1
ATF3	ATP6V0D1
PSMC4	CASP1
ALDOA	UBC
PDIA3	HLA-A
MCF2	UBC
BAD	YWHAZ
TBP	UBC
ACTB	MYO18B
SP100	OAS1
MARK3	UBC
IL8	CCR10
RPS13	RPL7A
CCR7	RGS18
CALR	TSHR
RPL36	UBC
RPS13	RPLP1
HSPA5	GRIA1
TAF7	TRIM22
HMOX1	UBC
ANXA2	PLAT
DECR1	RAD21
SUMO2	MAF1
NR1H2	STAT1
NOTCH1	HIF1A
IGF1	ANXA2
PTGS2	CYP2C8
CASC5	CEBPB
ANG	CEBPB
STAT1	IL6ST
GLUL	UBC
CD8A	HLA-C
OSM	CCL5
RAD21	RND3
AR	CASP1
MYH7B	UBC
HSPA1A	YWHAG
RAD21	TNFRSF21
HSPA2	UBC
CEBPB	DBI
TRADD	STAT1
CCL5	IGFBP7
IFNA8	IRF2
HLA-A	PDIA3
AUH	HMGCR
CCL20	CXCR4
ATF4	NFE2L1
ELK1	CEBPB
ATP6V0D1	ATP5I
UBA52	ADAM19
ACE	FOS
CXCL6	CCL20
PRDX1	UBC
GNAI2	EDN1
NCOA4	NR3C1
RAC1	MAP3K4
PSMA4	UBB
ITGAM	HCK
YWHAQ	BRAF
ANXA2	ZZZ3
HLA-C	TRIM39
COX6C	TBK1
CSF1R	GRB2
UBC	RNF8
FOS	CD14
CTSB	ANXA2
YWHAZ	TRIM21
MAPK8	IL6
CNTFR	STAT1
NR3C1	IL1RN
PTTG1	UBC
SPP1	CTNNBL1
TEAD3	CTGF
PML	UBC
ITGB2	TGFBI
DNM2	FOS
NR3C1	SVIL
HLA-E	PPP1R16A
PTGFRN	CD81
DEK	HIST2H2BE
CDKN1B	YWHAZ
CHAF1B	TBK1
STAT1	JUN
IL2RA	ICAM1
NPY	CCR7
PPP1R10	TAF7
PSMB5	PLK1
PKD1	UBC
A2M	TGFBI
ATF4	CEBPA
TLR8	MYD88
HMGA1	IRF1
CDCA3	FOS
AKT1	UBC
RPL11	MDM2
HLA-A	UBB
AKT1	ICAM1
HSPA8	CDKN1B
EGR1	FOS
NR3C1	PSME2
FOS	CCNB1
AKAP8	NFKB1
NFE2L2	IL6
MYD88	IFNA4
DLEU1	PSMA1
ATF6	UBC
ANAPC1	UBC
HDAC1	NR1D2
FOS	JUP
GLP1R	UBC
NR3C1	RNF151
CEBPB	PCF11
NFATC4	YWHAZ
CTSB	CTSD
NAV3	UBC
EPAS1	UBC
CD44	IRF7
FOS	CD3E
PFKP	UBC
